train_hadith,train_tags
"['حدثنا', 'محمد', 'بن', 'المثنى', 'حدثنا', 'اسحاق', 'بن', 'يوسف', 'حدثنا', 'سفيان', 'الثوري', 'عن', 'عبد', 'العزيز', 'بن', 'رفيع', 'قال', 'سالت', 'انس', 'بن', 'مالك', 'اخبرني', 'بشيء', 'عقلته', 'عن', 'النبي', 'صلى', 'الله', 'عليه', 'وسلم', 'اين', 'صلى', 'الظهر', 'يوم', 'الترويه', 'قال', 'بمنى', 'قلت', 'فاين', 'صلى', 'العصر', 'يوم', 'النفر', 'قال', 'بالابطح', 'افعل', 'كما', 'يفعل', 'امراؤك']","['O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'I_rawy', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn']"
"['حدثنا', 'ابو', 'اليمان', 'اخبرنا', 'شعيب', 'عن', 'الزهري', 'قال', 'عروه', 'سالت', 'عائشه', 'رضي', 'الله', 'عنها', 'فقلت', 'لها', 'ارايت', 'قول', 'الله', 'تعالى', 'سوره', 'البقره', 'ايه', 'ان', 'الصفا', 'والمروه', 'من', 'شعائر', 'الله', 'فمن', 'حج', 'البيت', 'او', 'اعتمر', 'فلا', 'جناح', 'عليه', 'ان', 'يطوف', 'بهما', 'فوالله', 'ما', 'على', 'احد', 'جناح', 'ان', 'لا', 'يطوف', 'بالصفا', 'والمروه', 'قالت', 'بئس', 'ما', 'قلت', 'يا', 'ابن', 'اختي', 'ان', 'هذه', 'لو', 'كانت', 'كما', 'اولتها', 'عليه', 'كانت', 'لا', 'جناح', 'عليه', 'ان', 'لا', 'يتطوف', 'بهما', 'ولكنها', 'انزلت', 'في', 'الانصار', 'كانوا', 'قبل', 'ان', 'يسلموا', 'يهلون', 'لمناه', 'الطاغيه', 'التي', 'كانوا', 'يعبدونها', 'عند', 'المشلل', 'فكان', 'من', 'اهل', 'يتحرج', 'ان', 'يطوف', 'بالصفا', 'والمروه', 'فلما', 'اسلموا', 'ج', 'ص', 'سالوا', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'عن', 'ذلك', 'قالوا', 'يا', 'رسول', 'الله', 'انا', 'كنا', 'نتحرج', 'ان', 'نطوف', 'بين', 'الصفا', 'والمروه', 'فانزل', 'الله', 'تعالى', 'سوره', 'البقره', 'ايه', 'ان', 'الصفا', 'والمروه', 'من', 'شعائر', 'الله', 'قالت', 'عائشه', 'رضي', 'الله', 'عنها', 'وقد', 'سن', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'الطواف', 'بينهما', 'فليس', 'لاحد', 'ان', 'يترك', 'الطواف', 'بينهما', 'ثم', 'اخبرت', 'ابا', 'بكر', 'بن', 'عبد', 'الرحمن', 'فقال', 'ان', 'هذا', 'لعلم', 'ما', 'كنت', 'سمعته', 'ولقد', 'سمعت', 'رجالا', 'من', 'اهل', 'العلم', 'يذكرون', 'ان', 'الناس', 'الا', 'من', 'ذكرت', 'عائشه', 'ممن', 'كان', 'يهل', 'بمناه', 'كانوا', 'يطوفون', 'كلهم', 'بالصفا', 'والمروه', 'فلما', 'ذكر', 'الله', 'تعالى', 'الطواف', 'بالبيت', 'ولم', 'يذكر', 'الصفا', 'والمروه', 'في', 'القران', 'قالوا', 'يا', 'رسول', 'الله', 'كنا', 'نطوف', 'بالصفا', 'والمروه', 'وان', 'الله', 'انزل', 'الطواف', 'بالبيت', 'فلم', 'يذكر', 'الصفا', 'فهل', 'علينا', 'من', 'حرج', 'ان', 'نطوف', 'بالصفا', 'والمروه', 'فانزل', 'الله', 'تعالى', 'سوره', 'البقره', 'ايه', 'ان', 'الصفا', 'والمروه', 'من', 'شعائر', 'الله', 'قال', 'ابو', 'بكر', 'فاسمع', 'هذه', 'الايه', 'نزلت', 'في', 'الفريقين', 'كليهما', 'في', 'الذين', 'كانوا', 'يتحرجون', 'ان', 'يطوفوا', 'بالجاهليه', 'بالصفا', 'والمروه', 'والذين', 'يطوفون', 'ثم', 'تحرجوا', 'ان', 'يطوفوا', 'بهما', 'في', 'الاسلام', 'من', 'اجل', 'ان', 'الله', 'تعالى', 'امر', 'بالطواف', 'بالبيت', 'ولم', 'يذكر', 'الصفا', 'حتى', 'ذكر', 'ذلك', 'بعد', 'ما', 'ذكر', 'الطواف', 'بالبيت']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_wem', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'B_plc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'B_plc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'B_plc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'B_plc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'B_plc', 'O', 'O', 'O', 'O', 'B_wem', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_wem', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'B_plc', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'O', 'O', 'B_plc', 'B_plc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'B_plc', 'O', 'O', 'O', 'O', 'B_plc', 'O', 'O', 'B_plc', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'B_plc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'B_plc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'B_plc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'O', 'O', 'B_plc', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc']"
"['حدثنا', 'عبد', 'الله', 'بن', 'عبد', 'الوهاب', 'حدثنا', 'خالد', 'بن', 'الحارث', 'قال', 'سئل', 'عبيد', 'الله', 'عن', 'المحصب', 'فحدثنا', 'ج', 'ص', 'عبيد', 'الله', 'عن', 'نافع', 'قال', 'نزل', 'بها', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'وعمر', 'وابن', 'عمر', 'وعن', 'نافع', 'ان', 'ابن', 'عمر', 'رضي', 'الله', 'عنهما', 'كان', 'يصلي', 'بها', 'يعني', 'المحصب', 'الظهر', 'والعصر', 'احسبه', 'قال', 'والمغرب', 'قال', 'خالد', 'لا', 'اشك', 'في', 'العشاء', 'ويهجع', 'هجعه', 'ويذكر', 'ذلك', 'عن', 'النبي', 'صلى', 'الله', 'عليه', 'وسلم']","['O', 'B_rawy', 'I_rawy', 'I_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'O', 'B_rawy', 'I_rawy', 'O', 'B_plc', 'O', 'O', 'O', 'B_rawy', 'I_rawy', 'O', 'B_fnarmetn', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_rawy', 'O', 'O', 'O', 'B_fnarmetn', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_plc', 'B_Time', 'O', 'O', 'O', 'O', 'O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['حدثنا', 'موسى', 'بن', 'اسماعيل', 'حدثنا', 'جرير', 'بن', 'حازم', 'حدثنا', 'ابو', 'رجاء', 'عن', 'سمره', 'بن', 'جندب', 'رضي', 'الله', 'عنه', 'قال', 'قال', 'النبي', 'صلى', 'الله', 'عليه', 'وسلم', 'رايت', 'الليله', 'رجلين', 'اتياني', 'فاخرجاني', 'الى', 'ارض', 'مقدسه', 'فانطلقنا', 'حتى', 'اتينا', 'على', 'نهر', 'من', 'دم', 'فيه', 'رجل', 'قائم', 'وعلى', 'وسط', 'النهر', 'رجل', 'بين', 'يديه', 'حجاره', 'فاقبل', 'الرجل', 'الذي', 'في', 'النهر', 'فاذا', 'اراد', 'الرجل', 'ان', 'يخرج', 'رمى', 'الرجل', 'بحجر', 'في', 'فيه', 'فرده', 'حيث', 'كان', 'فجعل', 'كلما', 'جاء', 'ليخرج', 'رمى', 'في', 'فيه', 'بحجر', 'فيرجع', 'كما', 'كان', 'فقلت', 'ما', 'هذا', 'فقال', 'الذي', 'رايته', 'في', 'النهر', 'اكل', 'الربا']","['O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'I_rawy', 'O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn']"
"['حدثنا', 'عبد', 'الله', 'بن', 'يوسف', 'اخبرنا', 'مالك', 'عن', 'اسحاق', 'بن', 'عبد', 'الله', 'بن', 'ابي', 'طلحه', 'انه', 'سمع', 'انس', 'بن', 'مالك', 'رضي', 'الله', 'عنه', 'يقول', 'ان', 'خياطا', 'دعا', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'لطعام', 'صنعه', 'قال', 'انس', 'بن', 'مالك', 'فذهبت', 'مع', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'الى', 'ذلك', 'الطعام', 'فقرب', 'الى', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'خبزا', 'ومرقا', 'فيه', 'دباء', 'وقديد', 'فرايت', 'النبي', 'صلى', 'الله', 'عليه', 'وسلم', 'يتتبع', 'الدباء', 'من', 'حوالي', 'القصعه', 'قال', 'فلم', 'ازل', 'احب', 'الدباء', 'من', 'يومئذ']","['O', 'B_rawy', 'I_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'O', 'B_rawy', 'I_rawy', 'I_rawy', 'I_rawy', 'I_rawy', 'I_rawy', 'I_rawy', 'O', 'O', 'B_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'O', 'O', 'O', 'O', 'O', 'B_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn']"
"['حدثنا', 'محمد', 'بن', 'المثنى', 'حدثنا', 'خالد', 'بن', 'الحارث', 'حدثنا', 'حميد', 'حدثنا', 'انس', 'عن', 'عباده', 'بن', 'الصامت', 'قال', 'خرج', 'النبي', 'صلى', 'الله', 'عليه', 'وسلم', 'ليخبرنا', 'بليله', 'القدر', 'فتلاحى', 'رجلان', 'من', 'المسلمين', 'فقال', 'خرجت', 'لاخبركم', 'بليله', 'القدر', 'فتلاحى', 'فلان', 'وفلان', 'فرفعت', 'وعسى', 'ان', 'يكون', 'خيرا', 'لكم', 'فالتمسوها', 'في', 'التاسعه', 'والسابعه', 'والخامسه']","['O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'O', 'B_rawy', 'O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn']"
"['حدثنا', 'عبدان', 'قال', 'اخبرني', 'ابي', 'عن', 'شعبه', 'عن', 'قتاده', 'عن', 'سعيد', 'بن', 'المسيب', 'عن', 'ابن', 'عمر', 'عن', 'ابيه', 'رضي', 'الله', 'عنهما', 'عن', 'النبي', 'صلى', 'الله', 'عليه', 'وسلم', 'قال', 'الميت', 'يعذب', 'في', 'قبره', 'بما', 'نيح', 'عليه', 'تابعه', 'عبد', 'الاعلى', 'حدثنا', 'يزيد', 'بن', 'زريع', 'حدثنا', 'سعيد', 'حدثنا', 'قتاده', 'وقال', 'ادم', 'عن', 'شعبه', 'الميت', 'يعذب', 'ببكاء', 'الحي', 'عليه', 'باب']","['O', 'O', 'O', 'O', 'B_rawy', 'B_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'O', 'O', 'B_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'O', 'B_rawy', 'I_rawy', 'O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'B_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn']"
"['حدثنا', 'قتيبه', 'بن', 'سعيد', 'حدثنا', 'يعقوب', 'بن', 'عبد', 'الرحمن', 'عن', 'ابي', 'حازم', 'عن', 'سهل', 'بن', 'سعد', 'الساعدي', 'رضي', 'الله', 'عنه', 'ان', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'بلغه', 'ان', 'بني', 'عمرو', 'بن', 'عوف', 'كان', 'بينهم', 'شيء', 'فخرج', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'يصلح', 'بينهم', 'في', 'اناس', 'معه', 'فحبس', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'وحانت', 'الصلاه', 'فجاء', 'بلال', 'الى', 'ابي', 'بكر', 'رضي', 'الله', 'عنه', 'فقال', 'يا', 'ابا', 'بكر', 'ان', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'قد', 'حبس', 'وقد', 'حانت', 'الصلاه', 'فهل', 'لك', 'ان', 'تؤم', 'الناس', 'قال', 'نعم', 'ان', 'شئت', 'فاقام', 'بلال', 'وتقدم', 'ابو', 'بكر', 'رضي', 'الله', 'عنه', 'فكبر', 'للناس', 'وجاء', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'يمشي', 'في', 'الصفوف', 'حتى', 'قام', 'في', 'الصف', 'فاخذ', 'الناس', 'في', 'التصفيق', 'وكان', 'ابو', 'بكر', 'رضي', 'الله', 'عنه', 'لا', 'يلتفت', 'في', 'صلاته', 'فلما', 'اكثر', 'الناس', 'التفت', 'فاذا', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'فاشار', 'اليه', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'يامره', 'ان', 'يصلي', 'فرفع', 'ابو', 'بكر', 'رضي', 'الله', 'عنه', 'يديه', 'فحمد', 'الله', 'ورجع', 'القهقرى', 'وراءه', 'حتى', 'قام', 'في', 'الصف', 'فتقدم', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'فصلى', 'للناس', 'فلما', 'فرغ', 'اقبل', 'على', 'الناس', 'فقال', 'يا', 'ايها', 'الناس', 'ما', 'لكم', 'حين', 'نابكم', 'شيء', 'في', 'الصلاه', 'اخذتم', 'في', 'التصفيق', 'انما', 'التصفيق', 'للنساء', 'من', 'نابه', 'شيء', 'في', 'صلاته', 'فليقل', 'سبحان', 'الله', 'فانه', 'لا', 'يسمعه', 'احد', 'حين', 'يقول', 'سبحان', 'الله', 'الا', 'التفت', 'يا', 'ابا', 'بكر', 'ما', 'منعك', 'ان', 'تصلي', 'للناس', 'حين', 'اشرت', 'اليك', 'فقال', 'ابو', 'بكر', 'رضي', 'الله', 'عنه', 'ما', 'كان', 'ينبغي', 'لابن', 'ابي', 'قحافه', 'ان', 'يصلي', 'بين', 'يدي', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم']","['O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'I_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'I_rawy', 'O', 'B_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_rawy', 'I_rawy', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'O', 'O', 'O', 'O', 'O', 'B_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'O']"
"['حدثنا', 'موسى', 'بن', 'اسماعيل', 'حدثنا', 'ابو', 'عوانه', 'عن', 'منصور', 'عن', 'مجاهد', 'عن', 'طاوس', 'عن', 'ابن', 'عباس', 'رضي', 'الله', 'عنه', 'قال', 'خرج', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'من', 'المدينه', 'الى', 'مكه', 'فصام', 'حتى', 'بلغ', 'عسفان', 'ثم', 'دعا', 'بماء', 'فرفعه', 'الى', 'يديه', 'ليريه', 'الناس', 'فافطر', 'حتى', 'قدم', 'مكه', 'وذلك', 'في', 'رمضان', 'فكان', 'ابن', 'عباس', 'يقول', 'قد', 'صام', 'رسول', 'الله', 'صلى', 'الله', 'عليه', 'وسلم', 'وافطر', 'فمن', 'شاء', 'صام', 'ومن', 'شاء', 'افطر']","['O', 'B_rawy', 'I_rawy', 'I_rawy', 'O', 'B_rawy', 'I_rawy', 'O', 'O', 'O', 'B_rawy', 'O', 'B_rawy', 'O', 'B_fnarmetn', 'I_fnarmetn', 'O', 'O', 'O', 'O', 'B_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn']"
"['حدثني', 'عبد', 'الله', 'بن', 'محمد', 'حدثنا', 'اسحاق', 'الازرق', 'حدثنا', 'سفيان', 'عن', 'عبد', 'العزيز', 'بن', 'رفيع', 'قال', 'سالت', 'انس', 'بن', 'مالك', 'رضي', 'الله', 'عنه', 'قلت', 'اخبرني', 'بشيء', 'عقلته', 'عن', 'النبي', 'صلى', 'الله', 'عليه', 'وسلم', 'اين', 'صلى', 'الظهر', 'والعصر', 'يوم', 'الترويه', 'قال', 'بمنى', 'قلت', 'فاين', 'صلى', 'العصر', 'يوم', 'النفر', 'قال', 'بالابطح', 'ثم', 'قال', 'افعل', 'كما', 'يفعل', 'امراؤك']","['O', 'B_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'O', 'O', 'O', 'O', 'O', 'O', 'B_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'I_fnarmetn', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn', 'I_matn']"
